REC_ID,Species,Continent.of.Origin,Country.of.Origin,Harvest.Year,Expiration,Variety,Color,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Quakers,Category.One.Defects,Category.Two.Defects,total_production,avg_production,Latitude,Longitude
329,Arabica,North America,Guatemala,2012.0,08/23/13,Caturra,Green,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,0.11,0,0,1,21061620000.0,1096959375.0,15.5855545,-90.345759
330,Arabica,North America,Guatemala,2012.0,07/09/13,Bourbon,Green,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,0.11,0,0,13,21061620000.0,1096959375.0,15.5855545,-90.345759
331,Arabica,North America,Mexico,2012.0,07/02/13,Typica,Green,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,0.12,0,4,11,23560560000.0,1227112500.0,19.4326296,-99.1331785
332,Arabica,Asia,Indonesia,2012.0,05/23/13,Typica,Green,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,0.12,0,0,0,46214640000.0,2407012500.0,-2.4833826,117.8902853
333,Arabica,North America,Guatemala,2012.0,04/30/13,Caturra,Green,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,0.1,0,0,0,21061620000.0,1096959375.0,15.5855545,-90.345759
334,Arabica,North America,United States,,04/20/12,,,,7.75,8.0,7.92,8.08,7.75,8.0,9.33,9.33,9.33,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
335,Arabica,South America,Brazil,2017.0,10/20/18,Bourbon,Green,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,0.11,0,0,5,225248940000.0,11731715625.0,-10.3333333,-53.2
336,Arabica,North America,Guatemala,2016.0,07/05/17,Caturra,Green,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,0.11,1,0,0,21061620000.0,1096959375.0,15.5855545,-90.345759
337,Arabica,South America,Colombia,2016.0,04/15/17,Caturra,Green,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,0.11,0,0,4,64795860000.0,3374784375.0,4.099917,-72.9088133
338,Arabica,Asia,China,2015.0,04/06/17,Catimor,Green,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,0.1,1,0,4,0.0,0.0,35.000074,104.999927
339,Arabica,South America,Colombia,2015.0,11/18/16,Caturra,Green,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,0.12,0,0,3,64795860000.0,3374784375.0,4.099917,-72.9088133
340,Arabica,North America,Mexico,2014.0,05/11/16,Caturra,Green,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,0.12,0,1,13,23560560000.0,1227112500.0,19.4326296,-99.1331785
341,Arabica,Africa,Ethiopia,2014.0,03/24/16,Other,,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,0.0,0,0,7,26008560000.0,1354612500.0,10.2116702,38.6521203
342,Arabica,Africa,Uganda,2013.0,06/27/15,SL14,Green,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,0.12,0,0,5,17758440000.0,924918750.0,1.5333554,32.2166578
343,Arabica,South America,Colombia,2014.0,06/24/15,Caturra,Green,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,0.0,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
344,Arabica,South America,Colombia,2014.0,03/13/15,Caturra,Green,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,0.12,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
345,Arabica,South America,Colombia,2014.0,03/21/15,Caturra,,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,0.0,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
346,Arabica,Asia,Taiwan,2013.0,12/26/14,Typica,Green,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,0.11,0,0,0,0.0,0.0,23.5983227,120.83537694479215
347,Arabica,South America,Colombia,2012.0,08/31/13,Caturra,Green,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,0.11,0,0,3,64795860000.0,3374784375.0,4.099917,-72.9088133
348,Arabica,North America,Mexico,2012.0,06/06/13,Typica,,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,0.12,0,0,2,23560560000.0,1227112500.0,19.4326296,-99.1331785
349,Arabica,South America,Colombia,2012.0,04/02/13,Caturra,Green,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,0.11,0,0,4,64795860000.0,3374784375.0,4.099917,-72.9088133
350,Arabica,South America,Brazil,2012.0,01/22/13,Catuai,Blue-Green,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,0.12,0,0,2,225248940000.0,11731715625.0,-10.3333333,-53.2
351,Arabica,South America,Colombia,2016.0,02/20/18,Caturra,Bluish-Green,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,0.0,0,0,5,64795860000.0,3374784375.0,4.099917,-72.9088133
352,Arabica,Asia,Taiwan,2016.0,02/13/18,,Blue-Green,,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,10.0,0.11,0,0,0,0.0,0.0,23.5983227,120.83537694479215
353,Arabica,North America,Costa Rica,2015.0,06/06/17,Caturra,Blue-Green,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,0.0,0,0,0,10790100000.0,561984375.0,10.2735633,-84.0739102
354,Arabica,South America,Colombia,2016.0,04/07/17,Caturra,Green,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,0.0,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
355,Arabica,North America,Guatemala,2016.0,03/16/17,Bourbon,Bluish-Green,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,0.1,2,0,5,21061620000.0,1096959375.0,15.5855545,-90.345759
356,Arabica,South America,Colombia,2015.0,11/18/16,Caturra,Green,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,0.12,0,0,4,64795860000.0,3374784375.0,4.099917,-72.9088133
357,Arabica,Africa,Tanzania,2015.0,11/15/16,Ruiru 11,Green,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,0.13,0,0,21,4424040000.0,230418750.0,-6.5247123,35.7878438
358,Arabica,Asia,Indonesia,2015.0,09/13/16,Sumatra,Bluish-Green,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,0.13,0,0,8,46214640000.0,2407012500.0,-2.4833826,117.8902853
359,Arabica,Africa,Ethiopia,2014.0,03/30/16,,,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,0.1,0,1,18,26008560000.0,1354612500.0,10.2116702,38.6521203
360,Arabica,South America,Colombia,2014.0,03/11/16,,,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,10.0,0.0,0,1,0,64795860000.0,3374784375.0,4.099917,-72.9088133
361,Arabica,South America,Colombia,2014.0,01/22/16,Caturra,Green,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,0.11,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
362,Arabica,North America,Guatemala,2013.0,12/18/15,Caturra,Green,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,0.1,0,0,0,21061620000.0,1096959375.0,15.5855545,-90.345759
363,Arabica,South America,Colombia,2014.0,08/11/15,Caturra,,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,0.0,0,2,0,64795860000.0,3374784375.0,4.099917,-72.9088133
364,Arabica,North America,Honduras,2014.0,04/08/15,Caturra,Green,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,0.1,0,0,3,20018160000.0,1042612500.0,15.2572432,-86.0755145
365,Arabica,South America,Colombia,2013.0,04/26/14,Caturra,Green,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,0.0,0,1,1,64795860000.0,3374784375.0,4.099917,-72.9088133
366,Arabica,South America,Colombia,2013.0,05/24/14,Caturra,Green,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,0.11,0,0,2,64795860000.0,3374784375.0,4.099917,-72.9088133
367,Arabica,North America,Mexico,2012.0,08/31/13,Bourbon,Green,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,0.13,0,0,14,23560560000.0,1227112500.0,19.4326296,-99.1331785
368,Arabica,North America,Mexico,2012.0,08/30/13,Typica,Green,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,0.11,0,0,12,23560560000.0,1227112500.0,19.4326296,-99.1331785
369,Arabica,North America,Mexico,2012.0,07/11/13,Pacamara,Green,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,0.12,0,0,0,23560560000.0,1227112500.0,19.4326296,-99.1331785
370,Arabica,North America,Guatemala,2012.0,04/30/13,Caturra,Green,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,0.1,0,0,5,21061620000.0,1096959375.0,15.5855545,-90.345759
371,Arabica,South America,Colombia,2012.0,02/08/13,Caturra,Green,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,0.11,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
372,Arabica,North America,Guatemala,2012.0,01/31/13,Bourbon,Green,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,0.0,0,3,12,21061620000.0,1096959375.0,15.5855545,-90.345759
373,Arabica,North America,United States,,03/07/12,,,,7.5,7.67,7.58,7.92,7.58,7.67,10.0,10.0,10.0,0.01,0,0,0,0.0,0.0,39.7837304,-100.445882
374,Arabica,Asia,Indonesia,2010.0,11/29/11,,,,7.83,7.58,7.58,7.58,7.75,7.58,10.0,10.0,10.0,0.0,0,0,0,46214640000.0,2407012500.0,-2.4833826,117.8902853
375,Arabica,South America,Colombia,2017.0,11/09/18,Caturra,Green,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,0.0,2,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
376,Arabica,North America,Guatemala,2017.0,08/23/18,Bourbon,Green,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,0.1,0,0,3,21061620000.0,1096959375.0,15.5855545,-90.345759
377,Arabica,South America,Colombia,2016.0,05/10/18,Caturra,Green,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,0.11,0,0,2,64795860000.0,3374784375.0,4.099917,-72.9088133
378,Arabica,North America,Costa Rica,2016.0,02/17/18,Caturra,Blue-Green,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,0.09,0,0,4,10790100000.0,561984375.0,10.2735633,-84.0739102
379,Arabica,Asia,Taiwan,2015.0,02/13/18,,Blue-Green,,7.67,7.67,7.0,7.08,7.0,7.0,10.0,10.0,10.0,0.11,0,0,0,0.0,0.0,23.5983227,120.83537694479215
380,Arabica,Africa,Uganda,2015.0,07/21/17,SL14,Green,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,0.11,0,0,1,17758440000.0,924918750.0,1.5333554,32.2166578
381,Arabica,Asia,Thailand,2015.0,06/27/17,Catimor,Bluish-Green,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,0.13,0,0,0,5022000000.0,261562500.0,14.8971921,100.83273
382,Arabica,North America,El Salvador,2016.0,04/25/17,Bourbon,,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,0.11,0,0,0,8462700000.0,440765625.0,13.8000382,-88.9140683
383,Arabica,South America,Colombia,2015.0,04/28/16,Caturra,Green,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,0.12,0,4,0,64795860000.0,3374784375.0,4.099917,-72.9088133
384,Arabica,South America,Brazil,2014.0,01/15/16,Yellow Bourbon,Green,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,0.12,0,0,6,225248940000.0,11731715625.0,-10.3333333,-53.2
385,Arabica,Africa,Tanzania,2014.0,12/12/15,Bourbon,Green,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,0.13,0,0,4,4424040000.0,230418750.0,-6.5247123,35.7878438
386,Arabica,South America,Colombia,2014.0,10/15/15,Caturra,Green,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,0.12,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
387,Arabica,North America,Guatemala,2013.0,08/21/15,Bourbon,Green,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,0.1,0,0,1,21061620000.0,1096959375.0,15.5855545,-90.345759
388,Arabica,North America,Guatemala,2014.0,02/18/15,Caturra,Green,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,0.1,0,0,2,21061620000.0,1096959375.0,15.5855545,-90.345759
389,Arabica,North America,Guatemala,2013.0,07/16/14,Bourbon,Green,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,0.11,0,0,0,21061620000.0,1096959375.0,15.5855545,-90.345759
390,Arabica,North America,United States,2012.0,01/24/14,Hawaiian Kona,Green,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,0.0,0,0,2,0.0,0.0,39.7837304,-100.445882
391,Arabica,South America,Colombia,2012.0,06/26/13,Caturra,Green,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,0.11,0,0,2,64795860000.0,3374784375.0,4.099917,-72.9088133
392,Arabica,South America,Colombia,,02/01/12,,,,7.58,7.58,7.58,7.67,7.75,7.67,10.0,10.0,10.0,0.1,0,1,3,64795860000.0,3374784375.0,4.099917,-72.9088133
393,Arabica,North America,United States,2010.0,12/27/11,,,,7.5,7.92,7.42,7.67,7.83,7.58,10.0,10.0,10.0,0.01,0,0,0,0.0,0.0,39.7837304,-100.445882
394,Arabica,Asia,Thailand,,04/13/11,Peaberry,,,7.58,7.25,7.5,7.92,7.92,7.42,10.0,10.0,10.0,0.11,0,0,0,5022000000.0,261562500.0,14.8971921,100.83273
395,Arabica,North America,Mexico,,05/26/11,,,,7.25,7.88,7.38,7.63,7.5,8.75,9.0,10.0,10.0,0.09,0,2,4,23560560000.0,1227112500.0,19.4326296,-99.1331785
396,Arabica,South America,Colombia,2016.0,11/08/17,Caturra,,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,0.0,1,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
397,Arabica,South America,Colombia,2016.0,06/15/17,Caturra,Blue-Green,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,0.0,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
398,Arabica,South America,Colombia,2016.0,05/05/17,Caturra,Green,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,0.0,0,1,2,64795860000.0,3374784375.0,4.099917,-72.9088133
399,Arabica,South America,Brazil,2015.0,10/11/16,Catuai,Green,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,0.1,0,1,5,225248940000.0,11731715625.0,-10.3333333,-53.2
400,Arabica,North America,Mexico,2014.0,07/13/16,Caturra,Green,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,0.12,0,0,2,23560560000.0,1227112500.0,19.4326296,-99.1331785
401,Arabica,South America,Colombia,2015.0,04/07/16,Caturra,Green,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,0.11,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
402,Arabica,Africa,Tanzania,2014.0,12/12/15,Other,Green,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,0.12,0,0,6,4424040000.0,230418750.0,-6.5247123,35.7878438
403,Arabica,North America,Mexico,2013.0,07/15/15,Other,Green,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,0.12,0,0,0,23560560000.0,1227112500.0,19.4326296,-99.1331785
404,Arabica,North America,Costa Rica,2014.0,04/07/15,Caturra,Green,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,0.12,0,0,3,10790100000.0,561984375.0,10.2735633,-84.0739102
405,Arabica,North America,United States,2014.0,02/25/15,Hawaiian Kona,Bluish-Green,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,0.11,0,0,1,0.0,0.0,39.7837304,-100.445882
406,Arabica,North America,Costa Rica,2013.0,02/14/15,Catuai,Green,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,0.11,0,0,3,10790100000.0,561984375.0,10.2735633,-84.0739102
407,Arabica,South America,Peru,2013.0,01/21/15,,Green,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,0.12,0,0,5,15952860000.0,830878125.0,-6.8699697,-75.0458515
408,Arabica,North America,Haiti,2012.0,10/03/14,Typica,Green,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,0.11,0,0,4,2096640000.0,109200000.0,19.1399952,-72.3570972
409,Arabica,South America,Colombia,2013.0,04/26/14,Caturra,Green,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,0.11,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
410,Arabica,North America,Guatemala,2013.0,02/26/14,Bourbon,Green,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,0.11,0,0,3,21061620000.0,1096959375.0,15.5855545,-90.345759
411,Arabica,North America,United States,2012.0,01/24/14,Hawaiian Kona,Bluish-Green,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10.0,10.0,0.1,0,0,4,0.0,0.0,39.7837304,-100.445882
412,Arabica,Africa,Burundi,2012.0,08/29/13,Bourbon,,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,0.0,0,0,5,1870920000.0,97443750.0,-3.426449,29.9324519
413,Arabica,South America,Colombia,2012.0,05/30/13,Caturra,Green,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,0.0,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
414,Arabica,North America,United States,,09/19/12,,,,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10.0,9.33,0.01,0,0,0,0.0,0.0,39.7837304,-100.445882
415,Arabica,North America,United States,,02/24/12,,,,7.58,7.67,7.58,7.5,7.83,7.67,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
416,Arabica,North America,Mexico,2017.0,03/07/18,Typica,Blue-Green,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,0.11,0,0,0,23560560000.0,1227112500.0,19.4326296,-99.1331785
417,Arabica,North America,Costa Rica,2016.0,01/30/18,Catuai,Green,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,0.11,0,0,0,10790100000.0,561984375.0,10.2735633,-84.0739102
418,Arabica,North America,Costa Rica,2015.0,09/20/17,,,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10.0,10.0,10.0,0.11,0,0,0,10790100000.0,561984375.0,10.2735633,-84.0739102
419,Arabica,North America,Guatemala,2016.0,08/12/17,Pacas,Green,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,0.11,2,0,7,21061620000.0,1096959375.0,15.5855545,-90.345759
420,Arabica,Africa,Uganda,2015.0,05/19/17,SL14,Green,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,0.12,0,0,1,17758440000.0,924918750.0,1.5333554,32.2166578
421,Arabica,South America,Brazil,2016.0,01/11/17,,Green,,7.58,7.67,7.42,7.5,7.67,7.42,10.0,10.0,10.0,0.12,0,0,4,225248940000.0,11731715625.0,-10.3333333,-53.2
422,Arabica,South America,Colombia,2015.0,11/26/16,Caturra,Green,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,0.0,0,0,2,64795860000.0,3374784375.0,4.099917,-72.9088133
423,Arabica,North America,Mexico,2015.0,07/13/16,Typica,Bluish-Green,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,0.12,0,0,2,23560560000.0,1227112500.0,19.4326296,-99.1331785
424,Arabica,Asia,Taiwan,2015.0,06/17/16,Bourbon,Blue-Green,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,0.1,0,0,0,0.0,0.0,23.5983227,120.83537694479215
425,Arabica,Asia,Taiwan,2014.0,11/23/15,Typica,Green,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,0.1,0,0,0,0.0,0.0,23.5983227,120.83537694479215
426,Arabica,South America,Colombia,2014.0,06/24/15,Caturra,Green,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,0.0,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
427,Arabica,North America,Guatemala,2014.0,03/07/15,Caturra,Green,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,0.1,0,0,1,21061620000.0,1096959375.0,15.5855545,-90.345759
428,Arabica,South America,Colombia,2013.0,08/02/14,Caturra,Green,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,0.11,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
429,Arabica,North America,Mexico,2013.0,03/29/14,Bourbon,Green,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,0.12,0,0,6,23560560000.0,1227112500.0,19.4326296,-99.1331785
430,Arabica,North America,United States,2012.0,03/21/14,Hawaiian Kona,Bluish-Green,Natural / Dry,7.58,7.75,7.83,8.0,8.08,7.67,9.33,10.0,9.33,0.11,0,0,4,0.0,0.0,39.7837304,-100.445882
431,Arabica,North America,Mexico,2012.0,08/01/13,Mundo Novo,Green,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,0.13,0,0,7,23560560000.0,1227112500.0,19.4326296,-99.1331785
432,Arabica,North America,Mexico,2012.0,07/11/13,Caturra,Blue-Green,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,0.12,0,0,0,23560560000.0,1227112500.0,19.4326296,-99.1331785
433,Arabica,North America,Guatemala,2012.0,07/09/13,Bourbon,Green,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,0.11,0,0,9,21061620000.0,1096959375.0,15.5855545,-90.345759
434,Arabica,South America,Brazil,2012.0,02/22/13,Yellow Bourbon,Blue-Green,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,0.11,0,0,1,225248940000.0,11731715625.0,-10.3333333,-53.2
435,Arabica,South America,Colombia,2012.0,02/21/13,Caturra,Green,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,0.12,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
436,Arabica,South America,Colombia,2012.0,02/08/13,Caturra,Green,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,0.11,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
437,Arabica,South America,Colombia,2011.0,06/13/12,,,,7.92,7.75,7.25,7.42,7.83,7.58,10.0,10.0,10.0,0.08,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
438,Arabica,South America,Colombia,2010.0,02/22/12,,,,8.0,7.67,7.67,7.25,7.67,7.5,10.0,10.0,10.0,0.13,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
439,Arabica,South America,Colombia,2010.0,01/17/12,,,,7.92,7.75,7.5,7.42,7.42,7.67,10.0,10.0,10.0,0.04,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
440,Arabica,South America,Brazil,2017.0,10/20/18,Bourbon,Green,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,0.11,0,0,4,225248940000.0,11731715625.0,-10.3333333,-53.2
441,Arabica,North America,Guatemala,2017.0,08/24/18,Bourbon,Green,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,0.1,0,0,1,21061620000.0,1096959375.0,15.5855545,-90.345759
442,Arabica,Africa,Tanzania,2016.0,06/20/18,Bourbon,Green,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,0.12,0,0,3,4424040000.0,230418750.0,-6.5247123,35.7878438
443,Arabica,South America,Peru,2017.0,06/16/18,,Green,,7.92,7.5,7.5,7.58,7.67,7.5,10.0,10.0,10.0,0.11,1,0,0,15952860000.0,830878125.0,-6.8699697,-75.0458515
444,Arabica,Asia,Vietnam,2017.0,05/08/18,Catimor,,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10.0,10.0,10.0,0.07,0,0,0,0.0,0.0,15.9266657,107.9650855
445,Arabica,North America,Guatemala,2016.0,05/23/17,Caturra,Green,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,0.11,2,2,3,21061620000.0,1096959375.0,15.5855545,-90.345759
446,Arabica,North America,Honduras,2016.0,05/02/17,Catuai,Blue-Green,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,0.11,1,0,1,20018160000.0,1042612500.0,15.2572432,-86.0755145
447,Arabica,Asia,China,2015.0,04/06/17,Catimor,Green,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,0.11,0,0,0,0.0,0.0,35.000074,104.999927
448,Arabica,Asia,China,2015.0,04/05/17,Catimor,Green,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,0.1,0,0,3,0.0,0.0,35.000074,104.999927
449,Arabica,North America,El Salvador,2016.0,03/29/17,Bourbon,Green,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,0.0,0,0,0,8462700000.0,440765625.0,13.8000382,-88.9140683
450,Arabica,North America,Guatemala,2015.0,10/28/16,Bourbon,Green,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,0.11,0,0,1,21061620000.0,1096959375.0,15.5855545,-90.345759
